"","success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","imageTrial","sequence","nbackTrial","firstTrial","gridTrial","trueDiff","nbackAccuracy"
"47",NA,NA,NA,NA,NA,"html-mouse-response",133,91320,"0.0-133.0",NA,50,"""lesser""",NA,9,TRUE,FALSE,NA,"""lesser""",FALSE
"48",NA,NA,NA,NA,NA,"html-mouse-response",135,92378,"0.0-135.0",NA,52,"""greater""",NA,9,TRUE,FALSE,NA,"""greater""",FALSE
"49",NA,NA,NA,NA,NA,"html-mouse-response",137,93436,"0.0-137.0",NA,48,"""lesser""",NA,9,TRUE,FALSE,NA,"""lesser""",FALSE
"50",NA,NA,NA,NA,NA,"html-mouse-response",139,94497,"0.0-139.0",NA,50,"""greater""",NA,9,TRUE,FALSE,NA,"""greater""",FALSE
"51",NA,NA,NA,NA,NA,"html-mouse-response",145,99640,"0.0-145.0",NA,22,"""lesser""",NA,10,TRUE,FALSE,NA,"""greater""",FALSE
"52",NA,NA,NA,NA,NA,"html-mouse-response",147,100698,"0.0-147.0",NA,18,"""greater""",NA,10,TRUE,FALSE,NA,"""lesser""",FALSE
"53",NA,NA,NA,NA,NA,"html-mouse-response",149,101760,"0.0-149.0",NA,22,"""greater""",NA,10,TRUE,FALSE,NA,"""greater""",FALSE
"54",NA,NA,NA,NA,NA,"html-mouse-response",151,102820,"0.0-151.0",NA,18,"""lesser""",NA,10,TRUE,FALSE,NA,"""lesser""",FALSE
"55",NA,NA,NA,NA,NA,"html-mouse-response",153,103881,"0.0-153.0",NA,22,"""greater""",NA,10,TRUE,FALSE,NA,"""greater""",FALSE
"56",NA,NA,NA,NA,NA,"html-mouse-response",159,109026,"0.0-159.0",NA,61,"""lesser""",NA,11,TRUE,FALSE,NA,"""lesser""",FALSE
"57",NA,NA,NA,NA,NA,"html-mouse-response",161,110081,"0.0-161.0",NA,65,"""greater""",NA,11,TRUE,FALSE,NA,"""greater""",FALSE
"58",NA,NA,NA,NA,NA,"html-mouse-response",163,111141,"0.0-163.0",NA,63,"""lesser""",NA,11,TRUE,FALSE,NA,"""lesser""",FALSE
"59",NA,NA,NA,NA,NA,"html-mouse-response",165,112197,"0.0-165.0",NA,65,"""greater""",NA,11,TRUE,FALSE,NA,"""greater""",FALSE
"60",NA,NA,NA,NA,NA,"html-mouse-response",167,113258,"0.0-167.0",NA,61,"""lesser""",NA,11,TRUE,FALSE,NA,"""lesser""",FALSE
"61",NA,NA,NA,NA,NA,"html-mouse-response",173,118405,"0.0-173.0",NA,54,"""lesser""",NA,12,TRUE,FALSE,NA,"""lesser""",FALSE
"62",NA,NA,NA,NA,NA,"html-mouse-response",175,119464,"0.0-175.0",NA,58,"""greater""",NA,12,TRUE,FALSE,NA,"""greater""",FALSE
"63",NA,NA,NA,NA,NA,"html-mouse-response",177,120524,"0.0-177.0",NA,56,"""lesser""",NA,12,TRUE,FALSE,NA,"""lesser""",FALSE
"64",NA,NA,NA,NA,NA,"html-mouse-response",179,121581,"0.0-179.0",NA,54,"""lesser""",NA,12,TRUE,FALSE,NA,"""lesser""",FALSE
"65",NA,NA,NA,NA,NA,"html-mouse-response",181,122640,"0.0-181.0",NA,58,"""lesser""",NA,12,TRUE,FALSE,NA,"""greater""",FALSE
"66",NA,NA,NA,NA,NA,"html-mouse-response",187,127791,"0.0-187.0",NA,23,"""lesser""",NA,13,TRUE,FALSE,NA,"""greater""",FALSE
"67",NA,NA,NA,NA,NA,"html-mouse-response",189,128853,"0.0-189.0",NA,21,"""greater""",NA,13,TRUE,FALSE,NA,"""lesser""",FALSE
"68",NA,NA,NA,NA,NA,"html-mouse-response",191,129908,"0.0-191.0",NA,23,"""lesser""",NA,13,TRUE,FALSE,NA,"""greater""",FALSE
"69",NA,NA,NA,NA,NA,"html-mouse-response",193,130970,"0.0-193.0",NA,19,"""lesser""",NA,13,TRUE,FALSE,NA,"""lesser""",FALSE
"70",NA,NA,NA,NA,NA,"html-mouse-response",195,132029,"0.0-195.0",NA,23,"""greater""",NA,13,TRUE,FALSE,NA,"""greater""",FALSE
"71",NA,NA,NA,NA,NA,"html-mouse-response",201,137180,"0.0-201.0",NA,53,"""greater""",NA,14,TRUE,FALSE,NA,"""greater""",FALSE
"72",NA,NA,NA,NA,NA,"html-mouse-response",203,138238,"0.0-203.0",NA,51,"""lesser""",NA,14,TRUE,FALSE,NA,"""lesser""",FALSE
"73",NA,NA,NA,NA,NA,"html-mouse-response",205,139296,"0.0-205.0",NA,49,"""lesser""",NA,14,TRUE,FALSE,NA,"""lesser""",FALSE
"74",NA,NA,NA,NA,NA,"html-mouse-response",207,140356,"0.0-207.0",NA,53,"""greater""",NA,14,TRUE,FALSE,NA,"""greater""",FALSE
"75",NA,NA,NA,NA,NA,"html-mouse-response",209,141413,"0.0-209.0",NA,51,"""lesser""",NA,14,TRUE,FALSE,NA,"""lesser""",FALSE
"76",NA,NA,NA,NA,NA,"html-mouse-response",215,146556,"0.0-215.0",NA,24,"""lesser""",NA,15,TRUE,FALSE,NA,"""lesser""",FALSE
"77",NA,NA,NA,NA,NA,"html-mouse-response",217,147614,"0.0-217.0",NA,28,"""greater""",NA,15,TRUE,FALSE,NA,"""greater""",FALSE
